,pid,pname,ppm,rpm,apm,MP,dist
134,215,Kevin Garnett,18.6154944663,10.4691181721,3.88789717958,50418,44.1991759002
112,176,Tim Duncan,20.2318308054,11.4821619312,3.21239051485,46810,49.7074160373
274,474,Dirk Nowitzki,22.4822533026,8.0498243648,2.609055449,46403,57.1917247534
136,218,Pau Gasol,18.6109557493,9.6607994736,3.31238690574,36474,40.4975331117
54,79,Elton Brand,17.3923021479,9.3173417904,2.24811878334,34685,31.0449242081
52,77,Chris Bosh,19.3763777555,8.55811623246,2.02342184369,31936,40.8142643556
303,531,Zach Randolph,19.1564475142,10.6355639539,2.03375252492,30694,39.9574008242
182,294,Dwight Howard,18.2369674517,12.9105583488,1.53492987563,30232,43.5469874178
332,576,Josh Smith,16.1752190238,8.28035043805,3.46057571965,28764,33.0302236033
277,485,Jermaine O'Neal,17.5092822687,9.55255079667,1.80105247771,27364,30.7738988468
51,76,Carlos Boozer,18.7032452325,10.9628638341,2.58012713282,26901,39.7003918349
379,652,David West,17.5005788118,8.12651704694,2.60129205721,26779,34.5051861211
339,591,Amar'e Stoudemire,22.0468139436,9.08530970712,1.44852400665,25847,52.8018664009
4,11,LaMarcus Aldridge,19.7435519528,8.61311717023,1.96168017686,24426,42.3968032768
193,314,Al Jefferson,19.6304294074,10.5095194923,1.80993983351,24266,41.7615612039
222,377,David Lee,16.7961399276,10.782468838,2.68757539204,22383,31.3399416442
173,280,Nene,15.4680514789,8.29731316324,2.47748927523,22145,25.0555310814
256,438,Paul Millsap,17.1538102789,9.15194478127,2.65441656562,21442,31.3558707544
144,228,Drew Gooden,15.4825801314,10.0481783795,1.60541509058,20092,21.2089187122
207,349,Chris Kaman,15.0364397264,10.2282331326,1.68112687557,19594,19.4921757743
135,217,Marc Gasol,15.2817092236,8.31245440334,3.27920792079,19190,28.6835048593
181,293,Al Horford,15.3742071882,9.61327045048,2.91949910555,18447,24.9125560731
319,555,Luis Scola,16.9594340665,9.38101027965,2.2601967503,18094,29.019094835
232,390,Kevin Love,20.1562441781,12.76755884,2.65366701857,16103,51.9199208549
230,388,Brook Lopez,20.0422101331,8.19479583142,1.49360949073,15257,44.2884423654
171,278,Roy Hibbert,14.8882725832,9.2852614897,2.00396196513,15144,18.7083981075
147,234,Marcin Gortat,14.2812803104,10.8992656228,1.34682000831,14434,18.595205608
156,247,Blake Griffin,21.9196882177,9.75349711184,4.09130767625,14369,58.4975633942
366,633,Charlie Villanueva,18.036158024,7.99494085262,1.45971281899,13441,35.4687699176
260,444,Greg Monroe,16.8744951384,10.6976813762,2.60643231114,13370,31.1506379971
44,67,Andray Blatche,16.4833895041,8.73567645643,2.30524795378,12462,27.6792631443
87,133,DeMarcus Cousins,22.6986899563,12.2707423581,3.08879184862,12366,62.1072177151
187,303,Ersan Ilyasova,15.9351474662,8.86068111455,1.64249633371,12274,23.6848931047
12,22,Ryan Anderson,17.9629477151,7.68019761219,1.23902840675,12145,36.2288742243
172,279,J.J. Hickson,15.2986264202,10.9703238935,1.34916059013,11794,23.0363427819
217,368,Carl Landry,17.1160280626,7.85213167836,1.0652995143,11118,32.15984255
67,99,Andrew Bynum,16.238727783,10.8471468662,1.65014031805,10690,26.6380277896
36,53,Michael Beasley,18.9796721311,7.06847775176,1.9256206089,10675,42.8929402043
123,197,Derrick Favors,15.9437548487,10.2044220326,1.4453064391,10312,23.6603710729
367,635,Nikola Vucevic,16.9386655169,11.7852754123,2.21580252237,9277,33.9175071004
224,380,Kawhi Leonard,16.5949748744,7.58592964824,2.34371859296,8955,31.7189184313
121,194,Kenneth Faried,16.4940239044,11.6953898691,1.45065452476,8785,30.9716111518
262,449,Markieff Morris,16.2753872633,7.68330464716,2.46196213425,8715,30.4230825749
335,582,Marreese Speights,18.3286881307,9.84334454589,1.4142239308,8324,34.7241774623
95,148,Anthony Davis,21.6677115987,10.2261876055,1.74487581384,8294,51.1647128005
110,174,Andre Drummond,15.9110676765,15.123870022,0.725629122893,8186,50.955001716
247,419,JaVale McGee,15.3387765356,10.1158145962,0.624042205753,7961,22.6804622463
162,268,Tobias Harris,16.7387932168,7.50098593401,1.87406336269,7607,31.721480637
208,351,Enes Kanter,17.66798743,11.0965978959,0.959147424512,7319,34.3058705933
175,283,Jordan Hill,15.1389736477,11.2843273232,1.49292649098,7210,23.6829031645
42,65,DeJuan Blair,14.6235644407,10.9893662271,1.78136962994,7053,20.4363710052
363,627,Jonas Valanciunas,15.219123506,11.192563081,0.908366533865,6777,24.4491735475
288,505,Nikola Pekovic,18.1761565836,9.64590747331,1.06227758007,6744,34.2396831679
336,583,Tiago Splitter,14.8414489311,9.39014251781,2.2393111639,6736,19.2147662638
390,673,Brandan Wright,15.5906452148,8.16851882568,1.00912257422,6029,24.6376175894
341,593,Jared Sullinger,15.9736339983,11.0091934085,2.56652211622,5765,28.137781463
170,276,John Henson,14.9355888094,9.91541964867,1.90500975927,4611,18.8021661782
293,513,Mason Plumlee,14.141101502,10.0937642239,2.24487938097,4394,16.7021562713
204,343,Terrence Jones,15.5242581253,8.62270372115,1.51766368347,4246,22.2834858769
276,484,Kelly Olynyk,16.6358764991,8.26741515693,2.77417708599,3919,31.1484384715
302,529,Anthony Randolph,16.7675084613,10.1036188493,1.75266857589,3841,27.5085701662
320,556,Mike Scott,17.5562178271,6.96396640477,2.04822541317,3691,37.5731580084
270,469,Andrew Nicholson,14.9194805195,7.53246753247,1.07012987013,3465,24.720658044
267,457,Byron Mullens,14.604759141,8.25304701103,1.59837492745,3446,19.5504732178
226,382,Jon Leuer,14.414039649,8.90347741306,1.79005524862,3077,16.6757664344
3,6,Alexis Ajinca,14.3560528993,10.6205493388,1.42828077314,2949,17.6275842527
106,167,Ike Diogu,17.3624329159,8.87441860465,0.888729874776,2795,31.1409725194
258,440,Nikola Mirotic,17.2560885609,8.79409594096,2.09889298893,2710,30.6070658304
380,654,Hassan Whiteside,16.2884310618,14.4770206022,0.299524564184,2524,48.3742099114
